Type;Name;Address;Place;Current Price (LKR);2022 Price (LKR);2021 Price (LKR);2020 Price (LKR);Rooms;Bed;Deposit Amount (LKR);Status;Bedroom;Bathroom;Balcony;Carpet Area (sqft);Age;Total Floors;Room Floor;Furnished;Loan;Description;Saler Name;Email;Phone Number
Shop;Property 140;76 Example Road;Colombo 3;125817890;101752057;129881428;95796475;4;9;4304793;Available;6;2;No;4690;4;10;10;Fully;Available;Description of property 140;Seller 140;seller140@example.com;746366635
Land;Property 141;66 Example Road;Colombo 3;28552855;67431828;67013486;3806249;4;4;1718078;Available;6;4;No;4204;12;4;7;Fully;Not Available;Description of property 141;Seller 141;seller141@example.com;769688551
House;Property 142;98 Example Road;Galle;190332441;162351921;168862382;81649162;5;10;2596097;Available;5;3;Yes;2859;37;7;6;Fully;Not Available;Description of property 142;Seller 142;seller142@example.com;788892492
House;Property 143;60 Example Road;Nuwara Eliya;19496811;22860604;141947460;64957395;5;3;3131022;Available;2;9;No;4652;42;6;16;Semi;Available;Description of property 143;Seller 143;seller143@example.com;771635129
Land;Property 144;57 Example Road;Nuwara Eliya;92448670;126880968;186143203;154974923;9;10;2280818;Sold;7;4;Yes;1230;37;14;3;Semi;Not Available;Description of property 144;Seller 144;seller144@example.com;739005450
Shop;Property 145;45 Example Road;Galle;83829681;24134959;92595603;172353229;4;6;8616779;Available;4;3;No;1229;2;8;4;Semi;Not Available;Description of property 145;Seller 145;seller145@example.com;742291614
Shop;Property 146;87 Example Road;Colombo 3;62808845;140363859;11661842;101962245;9;1;2751081;Sold;10;4;No;1024;43;8;10;Fully;Available;Description of property 146;Seller 146;seller146@example.com;784884104
Residence;Property 147;79 Example Road;Colombo 7;54910562;29680116;5775048;21887417;2;3;7506760;Sold;8;5;Yes;3179;47;13;3;Fully;Not Available;Description of property 147;Seller 147;seller147@example.com;705243956
Apartment;Property 148;30 Example Road;Galle;138510530;161903328;160346747;183579927;10;7;7162629;Sold;8;1;Yes;3459;25;7;20;Fully;Available;Description of property 148;Seller 148;seller148@example.com;733214858
Apartment;Property 149;49 Example Road;Galle;198048464;191984220;59304332;100288495;1;10;1091457;Sold;4;9;Yes;886;13;11;19;Available;Not Available;Description of property 149;Seller 149;seller149@example.com;791378262
House;Property 150;7 Example Road;Galle;139886932;23719804;198026021;119276579;4;7;9910315;Available;8;1;No;3688;7;20;10;Fully;Available;Description of property 150;Seller 150;seller150@example.com;783775915
Apartment;Property 151;97 Example Road;Colombo 7;19441421;117920349;81671602;184397750;3;8;4778715;Sold;1;3;No;4244;37;4;7;Fully;Not Available;Description of property 151;Seller 151;seller151@example.com;707718372
Shop;Property 152;54 Example Road;Colombo 3;62487879;51324849;142583582;107494991;6;1;2973576;Sold;6;7;No;1306;35;11;12;Semi;Available;Description of property 152;Seller 152;seller152@example.com;787265462
Apartment;Property 153;16 Example Road;Kandy;68017084;157727773;17130696;154188738;10;2;9633063;Available;5;4;Yes;2434;27;15;20;Available;Available;Description of property 153;Seller 153;seller153@example.com;763815964
House;Property 154;60 Example Road;Kandy;73608446;68413070;64163932;34230569;5;10;3650709;Available;2;7;No;3374;16;2;2;Available;Available;Description of property 154;Seller 154;seller154@example.com;703470614
Land;Property 155;34 Example Road;Galle;79397624;114939108;197913349;153889274;1;9;868134;Available;8;2;Yes;1565;6;1;19;Available;Not Available;Description of property 155;Seller 155;seller155@example.com;730099686
Shop;Property 156;24 Example Road;Nuwara Eliya;41106859;67328111;164306398;135406760;1;4;9682632;Available;6;10;No;4736;13;6;6;Fully;Not Available;Description of property 156;Seller 156;seller156@example.com;720432653
Land;Property 157;86 Example Road;Kandy;67185747;188798913;189588017;22885288;7;6;112352;Sold;7;9;No;4675;9;6;2;Available;Not Available;Description of property 157;Seller 157;seller157@example.com;784080365
House;Property 158;5 Example Road;Colombo 3;83320786;189876735;113150203;13338900;5;7;5325069;Sold;4;8;Yes;4787;6;4;3;Available;Not Available;Description of property 158;Seller 158;seller158@example.com;732834633
Shop;Property 159;22 Example Road;Galle;92873779;69937567;150410414;134789550;6;7;1454579;Sold;10;5;Yes;1550;6;12;19;Semi;Available;Description of property 159;Seller 159;seller159@example.com;783581228
House;Property 160;100 Example Road;Kandy;125103974;194136038;19349611;38889101;5;10;4898514;Sold;3;3;Yes;1196;29;17;13;Semi;Not Available;Description of property 160;Seller 160;seller160@example.com;767696901
Land;Property 161;58 Example Road;Colombo 7;100617564;119251890;11735437;19047621;10;1;621883;Available;9;8;No;1790;7;2;9;Available;Not Available;Description of property 161;Seller 161;seller161@example.com;732231063
Shop;Property 162;74 Example Road;Nuwara Eliya;85320529;164842290;136557805;140863293;2;8;2951578;Available;9;8;No;1692;6;14;12;Fully;Not Available;Description of property 162;Seller 162;seller162@example.com;709242321
Residence;Property 163;2 Example Road;Colombo 3;90510087;195398860;21012190;83848464;9;1;3744341;Sold;7;7;No;3412;20;18;6;Available;Not Available;Description of property 163;Seller 163;seller163@example.com;788207935
Residence;Property 164;36 Example Road;Galle;44676853;6996617;103989529;9925168;7;9;3438559;Sold;3;7;Yes;2345;34;6;1;Semi;Not Available;Description of property 164;Seller 164;seller164@example.com;762312808
Shop;Property 165;98 Example Road;Colombo 3;102350995;147615344;96001827;124489280;2;7;3800305;Sold;2;10;No;3222;36;2;20;Semi;Not Available;Description of property 165;Seller 165;seller165@example.com;763720511
Land;Property 166;76 Example Road;Nuwara Eliya;92425974;100881659;149665282;107070060;8;2;1327094;Sold;8;5;No;2568;35;14;4;Semi;Not Available;Description of property 166;Seller 166;seller166@example.com;779430817
Shop;Property 167;75 Example Road;Colombo 7;196655959;121786822;120071670;14293564;5;5;8796706;Available;6;4;Yes;2210;17;18;13;Available;Not Available;Description of property 167;Seller 167;seller167@example.com;710179687
Shop;Property 168;90 Example Road;Galle;187480000;27952008;128651589;12254336;5;1;5279472;Sold;9;6;No;1566;23;20;9;Fully;Available;Description of property 168;Seller 168;seller168@example.com;703106384
Apartment;Property 169;64 Example Road;Kandy;175029980;112773230;92267514;194080409;4;2;5221150;Sold;4;7;Yes;1292;27;2;18;Semi;Not Available;Description of property 169;Seller 169;seller169@example.com;703359088
Land;Property 170;42 Example Road;Galle;29568285;19780649;102603917;157900332;10;10;6172027;Available;9;3;Yes;3860;31;3;14;Available;Available;Description of property 170;Seller 170;seller170@example.com;747483033
Apartment;Property 171;32 Example Road;Colombo 3;33374918;157421534;172576452;54096223;8;7;1636464;Sold;9;6;Yes;1735;31;8;14;Available;Not Available;Description of property 171;Seller 171;seller171@example.com;749049101
Land;Property 172;56 Example Road;Colombo 7;112737882;167640228;160416218;68987931;8;2;1852282;Sold;8;3;No;505;39;20;12;Available;Not Available;Description of property 172;Seller 172;seller172@example.com;731588577
Shop;Property 173;58 Example Road;Galle;100231578;99751001;136243625;177531420;1;3;2197747;Sold;8;7;No;3259;45;18;7;Fully;Available;Description of property 173;Seller 173;seller173@example.com;786422025
Land;Property 174;38 Example Road;Colombo 7;188192296;149218076;84281140;137854700;6;6;104773;Available;4;6;No;657;40;10;8;Available;Not Available;Description of property 174;Seller 174;seller174@example.com;741671010
Apartment;Property 175;44 Example Road;Colombo 7;46033353;69502143;172488139;167078151;4;1;6102143;Sold;4;5;Yes;2159;7;10;3;Available;Not Available;Description of property 175;Seller 175;seller175@example.com;797344050
House;Property 176;52 Example Road;Galle;184715148;83111459;82316614;161962410;10;5;3485670;Available;9;2;No;1887;15;1;18;Semi;Available;Description of property 176;Seller 176;seller176@example.com;717464728
Apartment;Property 177;28 Example Road;Galle;174635697;53093250;18976486;161111475;9;10;7815218;Sold;3;5;Yes;2192;35;11;5;Semi;Not Available;Description of property 177;Seller 177;seller177@example.com;752026704
Apartment;Property 178;71 Example Road;Galle;28179926;112186961;61456637;46155199;9;5;3765304;Available;10;8;Yes;3537;26;16;9;Available;Available;Description of property 178;Seller 178;seller178@example.com;712112335
Land;Property 179;5 Example Road;Galle;69000057;60179131;160448579;90464905;2;9;7123342;Available;8;10;Yes;4325;14;6;7;Available;Available;Description of property 179;Seller 179;seller179@example.com;755291614
Residence;Property 180;79 Example Road;Kandy;176396944;189634644;66964270;131025496;1;7;8997185;Available;1;8;Yes;1721;25;6;4;Available;Not Available;Description of property 180;Seller 180;seller180@example.com;770608379
Shop;Property 181;27 Example Road;Nuwara Eliya;21889689;55735522;3962672;44217989;8;8;3094177;Available;6;4;No;4288;28;1;7;Fully;Not Available;Description of property 181;Seller 181;seller181@example.com;786175324
House;Property 182;39 Example Road;Kandy;99128651;153265787;187123021;190033952;8;3;9716068;Sold;4;6;Yes;2398;49;6;6;Semi;Not Available;Description of property 182;Seller 182;seller182@example.com;788197772
Land;Property 183;72 Example Road;Galle;193435006;185977277;65647249;108776930;3;3;6590783;Available;4;9;No;3511;36;19;1;Available;Available;Description of property 183;Seller 183;seller183@example.com;778525791
Residence;Property 184;81 Example Road;Colombo 7;50391412;166940993;81242647;26817012;10;9;1520897;Sold;4;8;No;4804;5;8;6;Semi;Available;Description of property 184;Seller 184;seller184@example.com;718531375
Shop;Property 185;38 Example Road;Colombo 3;121225875;77368168;188419300;125818740;9;6;1098915;Available;2;8;Yes;1939;27;2;10;Semi;Not Available;Description of property 185;Seller 185;seller185@example.com;752519923
Apartment;Property 186;48 Example Road;Colombo 3;196212826;93884256;187334744;77247292;9;3;586032;Sold;1;4;Yes;4268;48;2;13;Available;Not Available;Description of property 186;Seller 186;seller186@example.com;726820329
House;Property 187;63 Example Road;Colombo 7;97043935;37678853;82963075;145301341;8;9;1673872;Sold;5;7;No;3411;40;3;6;Fully;Not Available;Description of property 187;Seller 187;seller187@example.com;779612507
Apartment;Property 188;92 Example Road;Nuwara Eliya;118461095;64867948;12168687;144475873;3;4;8421778;Available;6;5;No;1928;48;9;12;Semi;Available;Description of property 188;Seller 188;seller188@example.com;768187499
Residence;Property 189;27 Example Road;Nuwara Eliya;190106628;142283621;105339731;151314974;1;8;5585696;Sold;6;1;Yes;4116;16;18;1;Semi;Not Available;Description of property 189;Seller 189;seller189@example.com;756955720
Residence;Property 190;39 Example Road;Colombo 7;147217295;148545884;45535291;189047890;4;2;3015912;Sold;6;8;No;3767;33;18;15;Semi;Not Available;Description of property 190;Seller 190;seller190@example.com;715763432
Land;Property 191;57 Example Road;Nuwara Eliya;39036119;153308264;9865805;166877661;9;2;8078729;Available;7;5;Yes;3999;5;6;9;Available;Not Available;Description of property 191;Seller 191;seller191@example.com;776840803
Land;Property 192;16 Example Road;Galle;68036641;196334388;51100695;116980966;3;3;2047436;Sold;9;3;Yes;3510;4;20;5;Available;Available;Description of property 192;Seller 192;seller192@example.com;765575080
Shop;Property 193;53 Example Road;Kandy;162006594;113447222;88330807;20031366;2;3;6195715;Sold;2;9;No;2946;30;14;10;Semi;Available;Description of property 193;Seller 193;seller193@example.com;778050147
House;Property 194;80 Example Road;Nuwara Eliya;84749806;20671220;150834535;110473637;6;8;2237807;Available;8;8;Yes;4235;45;20;13;Fully;Not Available;Description of property 194;Seller 194;seller194@example.com;767600783
Land;Property 195;22 Example Road;Colombo 7;106560622;99187626;132803726;71013588;4;10;6898166;Sold;2;2;No;1202;7;5;17;Fully;Not Available;Description of property 195;Seller 195;seller195@example.com;763039286
Apartment;Property 196;9 Example Road;Galle;99622677;36715794;109146703;100682910;8;2;2749779;Available;9;6;Yes;4206;15;3;3;Available;Not Available;Description of property 196;Seller 196;seller196@example.com;745523379
Apartment;Property 197;87 Example Road;Colombo 3;17248160;189060404;182669028;185595387;4;7;4101374;Sold;4;2;No;2756;9;14;16;Available;Not Available;Description of property 197;Seller 197;seller197@example.com;738340299
House;Property 198;38 Example Road;Colombo 7;150953246;68708068;142766487;138180551;5;4;7221463;Available;1;5;Yes;2265;41;5;2;Available;Not Available;Description of property 198;Seller 198;seller198@example.com;704113919
Residence;Property 199;6 Example Road;Colombo 7;145628075;55792850;181568140;40073474;6;9;774780;Available;1;1;No;621;35;2;9;Available;Available;Description of property 199;Seller 199;seller199@example.com;781911235
Residence;Property 200;93 Example Road;Nuwara Eliya;43556287;176557076;47626204;143728814;5;1;5070557;Sold;10;4;Yes;1040;12;5;16;Available;Not Available;Description of property 200;Seller 200;seller200@example.com;718986195
